Time,Tag,Code,Log
1679556484,GNSS,0,
1679556489,GNSS,0,"$GNRMC,072727.000,A,2649.291079,N,07551.392205,E,0.00,267.10,230323,,,D,V*0D"
1679556494,GNSS,0,
1679556499,GNSS,0,
1679556504,GNSS,0,"$GNRMC,072743.000,A,2649.289689,N,07551.396352,E,0.00,267.10,230323,,,D,V*08"
1679556509,GNSS,0,
1679556514,GNSS,0,
1679556519,GNSS,0,
1679556524,GNSS,0,
1679556529,GNSS,0,"$GNRMC,072800.000,A,2649.292217,N,07551.399842,E,0.00,290.48,230323,,,D,V*09"
1679556534,GNSS,0,
1679556539,GNSS,0,"$GNRMC,072816.000,A,2649.289717,N,07551.399969,E,0.00,290.48,230323,,,D,V*09"
1679556544,GNSS,0,
1679556549,GNSS,0,"$GNRMC,072832.000,A,2649.285892,N,07551.404485,E,0.00,290.48,230323,,,D,V*0D"
1679556554,GNSS,0,
1679556559,GNSS,0,
1679556564,GNSS,0,"$GNRMC,072833.000,A,2649.285807,N,07551.406062,E,0.00,290.48,230323,,,D,V*0F"
1679556569,GNSS,0,"$GNRMC,072849.000,A,2649.285708,N,0"
1679556574,GNSS,0,
1679556579,GNSS,0,
1679556584,GNSS,0,
1679556589,GNSS,0,
1679556594,GNSS,0,
1679556599,GNSS,0,"$GNRMC,072922.000,A,2649.287387,N,07551.393789,E,3.13,275.86,230323,,,D,V*0E"
1679556604,GNSS,0,
1679556609,GNSS,0,
1679556614,GNSS,0,"$GNRMC,072923.000,A,2649.287863,N,07551.393092,E,2.34,305.19,230323,,,D,V*07"
1679556619,GNSS,0,"$GNRMC,072939.000,A,2649.288513,N,07551.386"
1679556624,GNSS,0,
1679556629,GNSS,0,
1679556634,GNSS,0,
1679556639,GNSS,0,
